run_id,benchmark,search_strategy,method_label,path_index,status,state_id,depth,constraint_count,solver_time_ns,sat,has_exception,has_loop,has_division,has_nested_branch,has_dispatch,branches_covered,pc
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","1","END","3","-1","2","1083600","true","false","false","true","true","true","20","constraint # = 2 val_3_SYMINT == CONST_0 && type1_1_SYMINT != CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","2","END","4","-1","2","304400","true","false","false","true","true","true","20","constraint # = 2 val_3_SYMINT != CONST_0 && type1_1_SYMINT != CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","3","END","5","-1","2","310800","true","false","false","true","true","true","23","constraint # = 2 selector_2_SYMINT == CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","4","END","9","-1","4","621800","true","false","false","true","true","true","25","constraint # = 4 (x_4_SYMINT - CONST_1) > CONST_0 && selector_2_SYMINT == CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","5","END","10","-1","4","638800","true","false","false","true","true","true","25","constraint # = 4 (x_4_SYMINT - CONST_1) <= CONST_0 && selector_2_SYMINT == CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","6","END","13","-1","5","1267000","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT * CONST_2) > CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","7","END","15","-1","6","2250700","true","false","false","true","true","true","25","constraint # = 6 (x_4_SYMINT * CONST_2) > CONST_0 && (x_4_SYMINT * CONST_2) <= CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","8","END","16","-1","6","439600","true","false","false","true","true","true","25","constraint # = 6 (x_4_SYMINT * CONST_2) <= CONST_0 && (x_4_SYMINT * CONST_2) <= CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","9","END","17","-1","5","1074200","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT / CONST_2) > CONST_0 && selector_2_SYMINT != CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-1","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","10","END","18","-1","5","985200","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT / CONST_2) <= CONST_0 && selector_2_SYMINT != CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","1","END","3","-1","2","897900","true","false","false","true","true","true","20","constraint # = 2 val_3_SYMINT == CONST_0 && type1_1_SYMINT != CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","2","END","4","-1","2","297200","true","false","false","true","true","true","20","constraint # = 2 val_3_SYMINT != CONST_0 && type1_1_SYMINT != CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","3","END","5","-1","2","239000","true","false","false","true","true","true","23","constraint # = 2 selector_2_SYMINT == CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","4","END","9","-1","4","311700","true","false","false","true","true","true","25","constraint # = 4 (x_4_SYMINT - CONST_1) > CONST_0 && selector_2_SYMINT == CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","5","END","10","-1","4","361700","true","false","false","true","true","true","25","constraint # = 4 (x_4_SYMINT - CONST_1) <= CONST_0 && selector_2_SYMINT == CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","6","END","13","-1","5","303400","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT * CONST_2) > CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","7","END","15","-1","6","298300","true","false","false","true","true","true","25","constraint # = 6 (x_4_SYMINT * CONST_2) > CONST_0 && (x_4_SYMINT * CONST_2) <= CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","8","END","16","-1","6","351500","true","false","false","true","true","true","25","constraint # = 6 (x_4_SYMINT * CONST_2) <= CONST_0 && (x_4_SYMINT * CONST_2) <= CONST_5 && selector_2_SYMINT == CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","9","END","17","-1","5","763200","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT / CONST_2) > CONST_0 && selector_2_SYMINT != CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-2","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","10","END","18","-1","5","492300","true","false","false","true","true","true","25","constraint # = 5 (x_4_SYMINT / CONST_2) <= CONST_0 && selector_2_SYMINT != CONST_2 && selector_2_SYMINT != CONST_1 && selector_2_SYMINT != CONST_0 && type1_1_SYMINT == CONST_0"
"adverse-dispatch-branches_Random_limit_500-run-3","adverse-dispatch-branches","Random","research.AdverseDispatchAndBranches.runAdverse","1","END","3","-1","2","973700","true","false","false","true","true","true","20","constraint # = 2 val_3_SYMINT == CONST_0 && type1_1_SYMINT != CONST_0"
